id,tyden_od,tyden_do,tyden,nove_pripady_celkem,primoinfekce,prvni_reinfekce,druhe_reinfekce,treti_a_dalsi_reinfekce
076687b2-5341-45d3-83ab-2f4043e3f495,2023-05-01,2023-05-07,2023-18,552,374,158,20,0
121aa56b-3634-461e-81b6-4e5699dc11bf,2021-07-12,2021-07-18,2021-28,1658,1606,52,0,0
6ad6db9b-d38a-4e06-8967-162fcfac7eb9,2020-07-06,2020-07-12,2020-28,661,660,1,0,0
ad29a1fd-88cc-41ea-8861-e91323dd8a69,2023-11-27,2023-12-03,2023-48,10321,5708,3916,697,0
f7eceb04-fbca-4a55-a470-f2a6aa675a6a,2020-08-24,2020-08-30,2020-35,2455,2455,0,0,0
69ea4291-8a40-4777-b58f-4c61f9eddffb,2023-07-24,2023-07-30,2023-30,74,39,29,6,0
a4abf834-3bd5-4f0e-9103-b05eded7a27b,2024-03-25,2024-03-31,2024-13,90,48,32,10,0
b74dbe1b-bb98-4193-b51b-377cf3af15d2,2020-12-14,2020-12-20,2020-51,46908,46880,28,0,0
c5ee3e85-aca9-47ed-b96e-14b595fb81d1,2024-03-18,2024-03-24,2024-12,95,53,30,12,0
3549c5c5-8054-4c37-a354-b1c273988502,2024-04-01,2024-04-07,2024-14,88,48,32,8,0
a62445f8-f71a-4068-a62b-81c3cb8177d3,2022-10-17,2022-10-23,2022-42,14339,9822,4263,254,0
1c61c551-79bd-4103-9783-2a8e0ffaad63,2020-04-27,2020-05-03,2020-18,386,386,0,0,0
b3cac596-1aff-4ccd-a4f0-df2b36d775b4,2023-09-18,2023-09-24,2023-38,2266,1246,881,139,0
cc0ef644-7bd9-4a60-8401-34b57ac6008c,2020-05-04,2020-05-10,2020-19,347,347,0,0,0
5a12533e-518e-47b4-af10-4196db6f006c,2020-09-28,2020-10-04,2020-40,17886,17883,3,0,0
69e19ff0-32b3-459e-8f0f-619df071ce8e,2023-07-17,2023-07-23,2023-29,83,52,23,7,0
cb1f5c10-81af-4c60-965d-0a4ec4c46014,2024-01-22,2024-01-28,2024-04,1218,683,455,80,0
8dd4e09f-3494-418d-b558-4ff2a20b9231,2023-08-28,2023-09-03,2023-35,478,302,158,18,0
57e5e94b-e6f1-40e7-ae17-32a6a2ff4bba,2020-11-23,2020-11-29,2020-48,27627,27614,13,0,0
6fef0406-61dc-4a39-b539-d7159f6598e8,2020-06-08,2020-06-14,2020-24,401,401,0,0,0
8fb14905-f3d8-40a0-9449-486a7385b8e2,2021-02-22,2021-02-28,2021-08,83963,83512,451,0,0
10fbcc2c-d6bd-461f-94e6-4a0cb347adf8,2023-05-15,2023-05-21,2023-20,350,234,103,13,0
caff16a7-ab43-4eef-9345-f6f332fce1ad,2021-11-01,2021-11-07,2021-44,54965,53702,1259,4,0
ab8d853e-01bc-47e1-985b-917c63a4712a,2024-04-29,2024-05-04,2024-18,59,35,20,3,0
d475dab2-3c3d-4dd3-b39f-43094ba5f67e,2020-06-22,2020-06-28,2020-26,1107,1107,0,0,0
e8d0afc7-050f-45a9-b0a3-acca47598fbb,2024-03-04,2024-03-10,2024-10,168,95,61,12,0
2f9a5514-f6c9-4038-962e-64c798a00426,2021-01-25,2021-01-31,2021-04,48128,47954,174,0,0
27992da4-a5ec-4f2b-b372-d5b641e31529,2020-09-07,2020-09-13,2020-37,8043,8041,2,0,0
2d1db54b-d7f7-4f89-b1b6-4671003ded8a,2023-07-31,2023-08-06,2023-31,126,71,49,6,0
14e0049c-d8cd-4a30-89fb-e22753173d38,2020-03-09,2020-03-15,2020-11,266,266,0,0,0
51ed16bc-9e1e-4539-8657-58db16e33dc1,2023-06-19,2023-06-25,2023-25,140,87,45,8,0
b2456563-4e50-4c76-a704-79ac375ed473,2021-09-06,2021-09-12,2021-36,2672,2616,55,1,0
f7ccfd0e-4a28-4f7d-9df0-f546adef9905,2023-10-30,2023-11-05,2023-44,5148,2958,1890,300,0
beba9593-0107-40e0-9619-cd3372c500d8,2023-01-30,2023-02-05,2023-05,2714,1579,1020,115,0
f468d5e1-1a7a-4af0-811f-68be5e8a1ef0,2023-05-08,2023-05-14,2023-19,450,308,123,19,0
6e7d39f9-1701-45f8-95da-35db32ccbbec,2021-10-04,2021-10-10,2021-40,6170,6060,109,1,0
bc066827-493e-43d3-b46c-1e26e5a5bbb0,2023-05-22,2023-05-28,2023-21,279,174,92,13,0
e07df87b-4241-4e82-87d0-e4ccf6499428,2020-06-29,2020-07-05,2020-27,914,914,0,0,0
2b768070-4002-4478-9854-8229aed2871c,2021-09-20,2021-09-26,2021-38,3405,3317,88,0,0
add40c49-5f72-49fc-9d36-3974214733e5,2020-07-27,2020-08-02,2020-31,1463,1463,0,0,0
4fd9049f-66c6-45a2-ac51-4742c1b92b40,2022-01-17,2022-01-23,2022-03,182477,159728,22590,159,0
a72513c2-879e-45ff-9b4c-1afbcb474c0f,2021-04-05,2021-04-11,2021-14,27921,27721,200,0,0
4026bf9c-87e8-4eac-829c-42086d1803c5,2023-11-06,2023-11-12,2023-45,5523,3117,2076,330,0
ca9c2618-1824-4761-a758-184ef915c1b0,2023-01-16,2023-01-22,2023-03,1833,1157,606,70,0
f5c250bf-b8eb-478b-bfcf-d2bfe419e428,2021-03-08,2021-03-14,2021-10,78375,77986,389,0,0
32895223-f9ea-485f-a984-8175e6ad1c68,2020-04-13,2020-04-19,2020-16,758,758,0,0,0
eaaf1b2b-4bcc-4507-901a-e4630f5f15ad,2021-11-15,2021-11-21,2021-46,110416,107699,2707,10,0
ea0dd0eb-66ad-4dae-b767-ece55bc27e20,2023-09-25,2023-10-01,2023-39,2184,1294,779,111,0
7eca9956-98ef-4709-b173-09c02550bfce,2020-12-07,2020-12-13,2020-50,34472,34447,25,0,0
3db02376-63eb-4b27-88f1-006b26e43bc6,2024-01-29,2024-02-04,2024-05,866,484,312,70,0
94d4ade6-aca7-4023-b5b3-c8109659f7be,2023-04-10,2023-04-16,2023-15,1748,1101,575,72,0
d584c3e7-eff5-451d-b282-e676d1807968,2020-08-17,2020-08-23,2020-34,1910,1910,0,0,0
f1baefa6-6a17-4d1c-9c63-d43725d90930,2023-04-03,2023-04-09,2023-14,2058,1291,680,87,0
41b15e1d-2928-4d40-8668-7c586881f38a,2020-11-09,2020-11-15,2020-46,45661,45651,10,0,0
1eaff838-d95e-453d-a54b-018d09ca6748,2022-12-19,2022-12-25,2022-51,4472,2965,1379,128,0
cf20252d-fb4b-451d-90bb-fa80b9e4445c,2020-12-21,2020-12-27,2020-52,48183,48151,32,0,0
52936929-1dc1-4129-816d-e3905cb09f86,2023-02-20,2023-02-26,2023-08,6976,4278,2439,259,0
c6b06287-6490-41fd-b478-23e234e3c6a3,2021-06-14,2021-06-20,2021-24,996,975,21,0,0
47f2fdd7-f2eb-45f9-8b09-15696da14bf4,2023-03-13,2023-03-19,2023-11,5686,3534,1943,209,0
eaf785df-531d-4813-8c16-2e6678c02551,2021-07-26,2021-08-01,2021-30,1245,1204,40,1,0
91dd4afe-f1fe-47d3-92a5-e3d7e425a6f5,2020-04-20,2020-04-26,2020-17,660,660,0,0,0
842ea7c6-6fac-419f-903c-388b5c891c92,2021-05-03,2021-05-09,2021-18,11102,10992,110,0,0
d7f5e056-8f69-4efe-871a-1dceb4bed38f,2022-06-06,2022-06-12,2022-23,2313,1889,409,15,0
86f9ceca-8090-42ea-8b1e-3f801c91109e,2021-03-01,2021-03-07,2021-09,86588,86052,536,0,0
80665648-ad08-4a37-9dc8-37c422a7a66b,2020-12-28,2021-01-03,2020-53,73043,72992,51,0,0
5bd49245-8088-405a-8585-f47f4b452362,2021-04-19,2021-04-25,2021-16,17827,17708,119,0,0
c905c460-2700-4b07-9451-354840b3f087,2020-11-16,2020-11-22,2020-47,32431,32413,18,0,0
81febadd-b36b-4e9e-96d7-dd5e24c59ed7,2023-10-09,2023-10-15,2023-41,3051,1765,1104,182,0
57c9c945-956a-417c-b18d-59ceac5445d7,2023-01-02,2023-01-08,2023-01,2873,1880,911,82,0
bfd16380-d2c3-4a20-8172-4c9e46fbff5f,2023-08-21,2023-08-27,2023-34,403,228,151,24,0
cefcba51-391b-4395-b377-fb31520214bb,2022-08-22,2022-08-28,2022-34,15453,10862,4384,207,0
99f95b4c-902f-4d91-abc5-9c548ef59b7b,2021-11-29,2021-12-05,2021-48,117478,114587,2880,11,0
31ef6e31-7ff5-4f56-8832-5e0fdc9fcb7b,2020-10-05,2020-10-11,2020-41,34725,34723,2,0,0
7bbd7a60-fd02-42d2-b687-bf14c9b91ef1,2023-12-11,2023-12-17,2023-50,16024,8673,6317,1034,0
f881b2d4-26c2-41b7-b8d6-8aea7441e9ff,2021-09-27,2021-10-03,2021-39,4588,4517,71,0,0
2cc93c4d-4899-45df-b4d6-4e294eb5c8dc,2021-05-17,2021-05-23,2021-20,5171,5088,83,0,0
b29a8058-7244-44af-8cc5-44e1188a3f4d,2023-11-13,2023-11-19,2023-46,5535,3144,2057,334,0
49e8eaf3-d753-4978-8d1a-ec3b0987595e,2022-11-07,2022-11-13,2022-45,5193,3544,1535,114,0
817c7631-4f77-4819-a9d3-d515b88bac18,2020-03-23,2020-03-29,2020-13,1668,1668,0,0,0
d4a0cd60-41f4-4adf-86c7-16fd7314808f,2022-03-14,2022-03-20,2022-11,64197,54146,9934,117,0
6a1f24bf-ce3f-49d8-b45d-ae56190945d2,2021-03-15,2021-03-21,2021-11,66123,65770,353,0,0
ca5fa610-f2b6-4aba-b9db-98008abd6df1,2023-06-05,2023-06-11,2023-23,177,113,59,5,0
dd8664e0-5648-4da5-b6a1-ebc2d0c2dc6b,2022-02-14,2022-02-20,2022-07,125913,106703,19023,187,0
d757b0d3-3337-4231-b5b2-567da6bb87b7,2020-03-16,2020-03-22,2020-12,875,875,0,0,0
cdf755fd-195a-45ad-95be-2266e782ef3e,2020-10-19,2020-10-25,2020-43,84472,84456,16,0,0
e9a38ed1-721d-4812-8e3f-2675eae37f1f,2022-06-13,2022-06-19,2022-24,2961,2326,613,22,0
6c2f9329-1195-4904-b00b-ae2059b04dce,2022-05-09,2022-05-15,2022-19,4153,3430,702,21,0
67ebdc03-3041-477b-9c86-00716a32f49f,2022-10-03,2022-10-09,2022-40,26109,18326,7399,384,0
6b1433f0-2b27-4065-863c-c2648f6c3e27,2022-10-31,2022-11-06,2022-44,7130,4906,2093,131,0
90c469d6-d9c2-4c50-a2d2-bb22b030ef4b,2023-04-17,2023-04-23,2023-16,1390,891,435,64,0
7b61207c-17c5-4475-b684-ac550ff2dd59,2022-01-24,2022-01-30,2022-04,290976,249136,41506,334,0
0c4e4572-782d-4977-8654-6d40fc530a48,2021-07-19,2021-07-25,2021-29,1422,1370,52,0,0
121f9465-8200-48ec-94c1-4c10b0fbf35d,2023-03-27,2023-04-02,2023-13,3338,2129,1072,137,0
b42e43bb-df5d-40db-a3e0-da3c36cfe06b,2021-07-05,2021-07-11,2021-27,1444,1398,46,0,0
2849bf96-1b68-454c-9709-1f4a54afc1a8,2022-01-31,2022-02-06,2022-05,269352,229776,39246,330,0
6a5fb32a-2a64-45a3-8029-c125f0524432,2022-03-07,2022-03-13,2022-10,64068,53935,10025,108,0
9fa02e5c-3296-4633-98e2-94a249e31167,2022-08-01,2022-08-07,2022-31,20488,14728,5514,246,0
0b296776-c165-456c-8b55-4e49ec97b3a2,2023-10-23,2023-10-29,2023-43,4421,2546,1632,243,0
13691a3b-2962-4ca5-b52c-c2e008a67fa8,2021-08-02,2021-08-08,2021-31,1247,1213,33,1,0
51bf66d5-b25e-451b-b697-3d48ab1d9a10,2020-08-03,2020-08-09,2020-32,1570,1570,0,0,0
a1b561ab-a5d9-4a5f-9924-a0185dd96c2d,2022-04-11,2022-04-17,2022-15,22276,18698,3511,67,0
9f54cc05-ba89-4569-8694-a03a9fc544dc,2022-09-26,2022-10-02,2022-39,26284,18592,7329,363,0
4bf7f394-1086-4721-9c21-97aa44ef7a23,2022-07-18,2022-07-24,2022-29,21534,15929,5400,205,0
034aaaf7-aace-4290-94c2-073ac31e29a7,2023-09-04,2023-09-10,2023-36,912,522,337,53,0
b0f5358c-c3df-4939-86ff-73c967497e86,2022-08-29,2022-09-04,2022-35,15996,10995,4766,235,0
793f7539-1395-438f-a352-ca18dd0c5e31,2022-07-04,2022-07-10,2022-27,8087,6220,1805,62,0
5344e235-1e46-4e93-8a3c-971308efdca9,2023-08-14,2023-08-20,2023-33,296,164,121,11,0
001383b3-7fb9-4f42-b054-581cc5bcac18,2021-12-06,2021-12-12,2021-49,93757,91343,2407,7,0
89446d6d-6126-4d35-bcef-330245dec2b4,2022-04-04,2022-04-10,2022-14,37413,31381,5924,108,0
4cdc4153-114f-4a7a-9590-9122eaad7429,2020-08-10,2020-08-16,2020-33,1663,1662,1,0,0
4c7c02cd-0cc0-4785-94d4-8dcde38cdcae,2023-12-18,2023-12-24,2023-51,12320,7055,4513,752,0
8e6d4668-fed5-4136-8bbc-fc6342ee29e0,2022-07-25,2022-07-31,2022-30,22680,16692,5746,242,0
445dc3c6-581c-47b2-b52e-96998a25eb2b,2021-05-24,2021-05-30,2021-21,3318,3271,47,0,0
dadb7ccf-8916-4b62-a8d1-ad6eeaf2836e,2020-05-18,2020-05-24,2020-21,493,493,0,0,0
947a78cb-a68c-4805-8749-c1dede4337a8,2021-08-23,2021-08-29,2021-34,1364,1333,31,0,0
55e54906-cced-493a-8143-a9c5d6deff2f,2020-05-25,2020-05-31,2020-22,319,319,0,0,0
98963ced-40bd-4aeb-ab43-1febf08d1c4b,2020-10-12,2020-10-18,2020-42,56883,56873,10,0,0
1bb7f805-e084-4311-82f1-ec4626605fb2,2021-04-26,2021-05-02,2021-17,14744,14603,140,1,0
685e34d5-57bf-46b0-8e98-267efbb1690d,2022-12-05,2022-12-11,2022-49,6145,4096,1899,150,0
e9c787aa-aedb-4f20-a956-1d246227f5ee,2022-06-20,2022-06-26,2022-25,4699,3780,887,32,0
b090c628-705c-4422-9e7f-ed07f231ae76,2021-01-04,2021-01-10,2021-01,90166,90089,77,0,0
cd485275-5b1d-493d-b077-5ff254e30735,2022-11-21,2022-11-27,2022-47,4853,3232,1514,107,0
411d6724-9539-443d-97ba-4fa01980d725,2022-02-28,2022-03-06,2022-09,64610,54312,10189,109,0
dbe96dee-c9e7-4381-859b-7852f12d031e,2020-08-31,2020-09-06,2020-36,3792,3791,1,0,0
7fffcdad-278c-4442-8500-f48d9dcb907e,2021-11-22,2021-11-28,2021-47,132095,128827,3258,10,0
364e0eb1-86e6-46b0-98b3-06f8dd5ead0a,2020-06-01,2020-06-07,2020-23,374,374,0,0,0
469d3459-c38d-458d-bd69-cb52a1e92764,2024-04-08,2024-04-14,2024-15,73,40,27,4,0
87930184-1ae6-4385-b513-b12e1076fd21,2021-02-15,2021-02-21,2021-07,67172,66809,363,0,0
5d903b82-83a7-4910-9650-f4a166b24af1,2022-05-16,2022-05-22,2022-20,2679,2215,453,11,0
95da4895-6564-4290-a91e-ef4eb2bdc5f5,2022-10-10,2022-10-16,2022-41,19796,13953,5533,310,0
4401ea08-1f4e-4244-8eba-1514ffcc9c83,2021-10-11,2021-10-17,2021-41,9867,9657,210,0,0
2e2302df-ca19-439f-bcd0-20f07f2a2e81,2021-05-10,2021-05-16,2021-19,7849,7762,86,1,0
81528c42-376a-4eb5-b417-de43786c963e,2024-02-26,2024-03-03,2024-09,176,99,70,7,0
